gene_id,gene_name,knockout_growth,growth_ratio,classification,reactions_affected
b1241,adhE,0.8739215069684307,1.0000000000000004,non_essential,2
b0351,mhpF,0.8739215069684307,1.0000000000000004,non_essential,1
s0001,s0001,0.21114065257211773,0.2416013919883368,growth_affecting,5
b1849,purT,0.8739215069684307,1.0000000000000004,non_essential,1
b3115,tdcD,0.8739215069684307,1.0000000000000004,non_essential,1
b2296,ackA,0.8739215069684307,1.0000000000000004,non_essential,1
b1276,acnA,0.8739215069684307,1.0000000000000004,non_essential,2
b0118,acnB,0.8739215069684307,1.0000000000000004,non_essential,2
b0474,adk,0.8739215069684307,1.0000000000000004,non_essential,1
b0116,lpd,0.7823510529477393,0.8952189031960751,growth_affecting,2
b0727,sucB,0.8583074080226888,0.9821332936410895,non_essential,1
b0726,sucA,0.8583074080226888,0.9821332936410895,non_essential,1
b2587,kgtP,0.8739215069684307,1.0000000000000004,non_essential,1
b0356,frmA,0.8739215069684307,1.0000000000000004,non_essential,1
b1478,adhP,0.8739215069684307,1.0000000000000004,non_essential,1
b3734,atpA,0.37422987493310916,0.42821909284654774,growth_affecting,1
b3733,atpG,0.37422987493310916,0.42821909284654774,growth_affecting,1
b3736,atpF,0.37422987493310916,0.42821909284654774,growth_affecting,1
b3737,atpE,0.37422987493310916,0.42821909284654774,growth_affecting,1
b3739,atpI,0.8739215069684307,1.0000000000000004,non_essential,1
